,depth,title,section,sentence
23,0,Chatbot,Development,"For example, A.L.I.C.E. uses a markup language called AIML, which is specific to its function as a conversational agent, and has since been adopted by various other developers of, so called, Alicebots."
24,0,Chatbot,Development,"Nevertheless, A.L.I.C.E. is still purely based on pattern matching techniques without any reasoning capabilities, the same technique ELIZA was using back in 1966."
25,0,Chatbot,Development,"This is not strong AI, which would require sapience and logical reasoning abilities.
"
26,0,Chatbot,Development,"Jabberwacky learns new responses and context based on real-time user interactions, rather than being driven from a static database."
27,0,Chatbot,Development,Some more recent chatbots also combine real-time learning with evolutionary algorithms that optimise their ability to communicate based on each conversation held.
28,0,Chatbot,Development,"Still, there is currently no general purpose conversational artificial intelligence, and some software developers focus on the practical aspect, information retrieval.
"
29,0,Chatbot,Development,Chatbot competitions focus on the Turing test or more specific goals.
30,0,Chatbot,Development,"Two such annual contests are the Loebner Prize and The Chatterbox Challenge (the latter has been offline since 2015, however materials can still be found from web archives).DBpedia created a chatbot during the GSoC of 2017. and can communicate through Facebook Messenger."
31,0,Chatbot,Development,"DBpedia started in 2007 and allows to extract structured content from the Wikipedia dataset, along with many other datasets."
32,0,Chatbot,Development,DBpedia is currently one of the biggest representatives of Linked Open Data (LOD).
33,0,Chatbot,Messaging apps,Many companies' chatbots run on messaging apps or simply via SMS.
34,0,Chatbot,Messaging apps,"They are used for B2C customer service, sales and marketing."
35,0,Chatbot,Messaging apps,"In 2016, Facebook Messenger allowed developers to place chatbots on their platform."
36,0,Chatbot,Messaging apps,"There were 30,000 bots created for Messenger in the first six months, rising to 100,000 by September 2017.
"
37,0,Chatbot,Messaging apps,"Since September 2017, this has also been as part of a pilot program on WhatsApp."
38,0,Chatbot,Messaging apps,"Airlines KLM and Aeroméxico both announced their participation in the testing; both airlines had previously launched customer services on the Facebook Messenger platform.
"
39,0,Chatbot,Messaging apps,"The bots usually appear as one of the user's contacts, but can sometimes act as participants in a group chat.
"
40,0,Chatbot,Messaging apps,"Many banks, insurers, media companies, e-commerce companies, airlines, hotel chains, retailers, health care providers, government entities and restaurant chains have used chatbots to answer simple questions, increase customer engagement, for promotion, and to offer additional ways to order from them."
41,0,Chatbot,Messaging apps,A 2017 study showed 4% of companies used chatbots.
42,0,Chatbot,Messaging apps,"According to a 2016 study, 80% of businesses said they intended to have one by 2020."
43,0,Chatbot,Company internal platforms,"Other companies explore ways they can use chatbots internally, for example for Customer Support, Human Resources, or even in Internet-of-Things (IoT) projects."
44,0,Chatbot,Company internal platforms,"Overstock.com, for one, has reportedly launched a chatbot named Mila to automate certain simple yet time-consuming processes when requesting for a sick leave."
45,0,Chatbot,Company internal platforms,"Other large companies such as Lloyds Banking Group, Royal Bank of Scotland, Renault and Citroën are now using automated online assistants instead of call centres with humans to provide a first point of contact."
46,0,Chatbot,Company internal platforms,"A SaaS chatbot business ecosystem has been steadily growing since the F8 Conference when Facebook's Mark Zuckerberg unveiled that Messenger would allow chatbots into the app.
"
47,0,Chatbot,Company internal platforms,"In large companies, like in hospitals and aviation organizations, IT architects are designing reference architectures for Intelligent Chatbots that are used to unlock and share knowledge and experience in the organization more efficiently, and reduce the errors in answers from expert service desks significantly."
48,0,Chatbot,Company internal platforms,"These Intelligent Chatbots make use of all kinds of artificial intelligence like image moderation and natural language understanding (NLU), natural language generation (NLG), machine learning and deep learning."
49,0,Chatbot,Banking,Nowadays a high majority of high-tech banking organizations are looking for integration of automated AI-based solutions such as chatbots in their customer service in order to provide faster and cheaper assistance to their clients becoming increasingly technodexterous.
50,0,Chatbot,Banking,"In particularly, chatbots can efficiently conduct a dialogue, usually substituting other communication tools such as email, phone, or SMS."
51,0,Chatbot,Banking,"In banking area their major application is related to quick customer service answering common requests, and transactional support.
"
52,0,Chatbot,Banking,"Several studies accomplished by analytics agencies such as Juniper or Gartner  report significant reduction of cost of customer services, leading to billions of dollars of economy in the next 10 years."
53,0,Chatbot,Banking,Gartner predicts an integration by 2020 of chatbots in at least 85% of all client's applications to customer service.
54,0,Chatbot,Banking,"Juniper's study announces an impressive amount of $8 billion retained annually by 2022 due to the use of chatbots.
"
55,0,Chatbot,Banking,"Since 2016 when Facebook allows businesses to deliver automated customer support, e-commerce guidance, content and interactive experiences through chatbots, a large variety of chatbots for Facebook Messenger platform were developed.
"
56,0,Chatbot,Banking,"In 2016, Russia-based Tochka Bank launched the world's first Facebook bot for a range of financial services, in particularly including a possibility of making payments.

"
57,0,Chatbot,Banking,"In July 2016, Barclays Africa also launched a Facebook chatbot, making it the first bank to do so in Africa.
"
58,0,Chatbot,Banking,The France's third largest bank by total assets
59,0,Chatbot,Banking,Société Générale launched their chatbot called SoBot in March 2018.
60,0,Chatbot,Banking,"While the 80% of users of the SoBot express their satisfaction after having tested it, il will never replace the expertise provided by a human advisor according to SG deputy director Bertrand Cozzarolo.
"
61,0,Chatbot,Banking,"There are several potential advantages of using chatbots in interaction with customer in banking:
Cost reduction."
62,0,Chatbot,Banking,"Chatbots eliminate the obligation of any human presence during online interaction and are so long seen as a huge advantage by companies operating with multiple repetitive queries at once as long as they don't require any decision-making procedure.
"
63,0,Chatbot,Banking,Human touch.
64,0,Chatbot,Banking,"Chatbots, providing an interface similar to human-to-human interaction, are more intuitive and so less difficult to use than a standard banking mobile application."
65,0,Chatbot,Banking,They do not require any additional software installation and are more adaptive as able to be personalized during the exploitation by the means of machine learning.
66,0,Chatbot,Banking,"Chatbots are instant and so much faster that phone calls, shown to be considered as tedious in some studies."
67,0,Chatbot,Banking,"Then they satisfy both speed and personalization requirement while interacting with a bank.
"
68,0,Chatbot,Banking,Financial advice.
69,0,Chatbot,Banking,"State-of-the-art banking assistants can, by accessing personal customer's data such as consumer behavior or history of purchases, provide useful information on client's account and use it to develop AI-Based recommendations for better adapted money management.
"
70,0,Chatbot,Banking,Attracting new clients.
71,0,Chatbot,Banking,"A chatbot greeting a bank's website guest can provide some useful and relevant information, helping to exploit the offered products and services in a personalized manner helps to attract the potential client and the he is more likely to end by creation of a new account.
"
72,0,Chatbot,Banking,24/7 digital support.
73,0,Chatbot,Banking,An instant and always accessible assistant is assumed by the more and more digital consumer of the new era.
74,0,Chatbot,Banking,"Unlike humans, chatbots once developed and installed don't have a limited workdays, holidays or weekends and are ready to attend queries at any hour of the day."
75,0,Chatbot,Banking,It helps to the customer to avoid waiting of a company's agent to be available.
76,0,Chatbot,Banking,"Thus, the customer doesn't have to wait for the company executive to help them."
77,0,Chatbot,Banking,This also lets companies keep an eye on the traffic during the non-working hours and reach out to them later.
78,0,Chatbot,Healthcare,Chatbots are also appearing in the healthcare industry.
79,0,Chatbot,Healthcare,"A study suggested that physicians in the United States believed that chatbots would be most beneficial for scheduling doctor appointments, locating health clinics, or providing medication information."
80,0,Chatbot,Healthcare,Certain patient groups are still reluctant to use chatbots.
81,0,Chatbot,Healthcare,"A mixed-methods study showed that people are still hesitant to use chatbots for their healthcare due to poor understanding of the technological complexity, the lack of empathy and concerns about cyber-security.  "
82,0,Chatbot,Healthcare,"The analysis showed that while 6% had heard of a health chatbot and 3% had experience of using it, 67% perceived themselves as likely to use one within 12 months."
83,0,Chatbot,Healthcare,"The majority of participants would use a health chatbot for seeking general health information (78%), booking a medical appointment (78%) and looking for local health services (80%)."
84,0,Chatbot,Healthcare,"However, a health chatbot was perceived as less suitable for seeking results of medical tests and seeking specialist advice such as sexual health."
85,0,Chatbot,Healthcare,The analysis of attitudinal variables showed that most participants reported their preference for discussing their health with doctors (73%) and having access to reliable and accurate health information (93%).
86,0,Chatbot,Healthcare,"While 80% were curious about new technologies that could improve their health, 66% reported only seeking a doctor when experiencing a health problem and 65% thought that a chatbot was a good idea."
87,0,Chatbot,Healthcare,"Interestingly, 30% reported dislike about talking to computers, 41% felt it would be strange to discuss health matters with a chatbot and about half were unsure if they could trust the advice given by a chatbot."
88,0,Chatbot,Healthcare,"Therefore, perceived trustworthiness, individual attitudes towards bots and dislike for talking to computers are the main barriers to health chatbots."
89,0,Chatbot,Politics,"In New Zealand, the chatbot SAM -short for Semantic Analysis Machine-"
90,0,Chatbot,Politics,(made by Nick Gerritsen of Touchtech) has been developed.
91,0,Chatbot,Politics,"It is designed to share its political thoughts, for example on topics such as climate change, healthcare and education, etc."
92,0,Chatbot,Politics,It talks to people through Facebook Messenger.
93,0,Chatbot,Toys,Chatbots have also been incorporated into devices not primarily meant for computing such as toys.
94,0,Chatbot,Toys,"Hello Barbie is an Internet-connected version of the doll that uses a chatbot provided by the company ToyTalk, which previously used the chatbot for a range of smartphone-based characters for children."
95,0,Chatbot,Toys,These characters' behaviors are constrained by a set of rules that in effect emulate a particular character and produce a storyline.
96,0,Chatbot,Toys,IBM's Watson computer has been used as the basis for chatbot-based educational toys for companies such as CogniToys intended to interact with children for educational purposes.
97,0,Chatbot,Chatbot development platforms,"The process of building, testing and deploying chatbots can be done on cloud-based chatbot development platforms offered by cloud Platform as a Service (PaaS) providers such as Oracle Cloud Platform  SnatchBot and IBM Watson."
98,0,Chatbot,Chatbot development platforms,"These cloud platforms provide Natural Language Processing, Artificial Intelligence and Mobile Backend as a Service for chatbot development.
"
99,0,Chatbot,Chatbot development platforms,"API
"
100,0,Chatbot,Chatbot development platforms,Some Companies like Microsoft Azure and AARC are currently providing their Bot Engines through which chatbot Platforms or Software can be developed.
101,0,Chatbot,Malicious use,"Malicious chatbots are frequently used to fill chat rooms with spam and advertisements, by mimicking human behavior and conversations or to entice people into revealing personal information, such as bank account numbers."
102,0,Chatbot,Malicious use,They are commonly found on Yahoo!
103,0,Chatbot,Malicious use,"Messenger, Windows Live Messenger, AOL Instant Messenger and other instant messaging protocols."
104,0,Chatbot,Malicious use,There has also been a published report of a chatbot used in a fake personal ad on a dating service's website.
105,0,Chatbot,Malicious use,"Tay, an AI chatbot that learns from previous interaction, caused major controversy due to it being targeted by internet trolls on Twitter."
106,0,Chatbot,Malicious use,"The bot was exploited, and after 16 hours began to send extremely offensive Tweets to users."
107,0,Chatbot,Malicious use,"This suggests that although the bot learnt effectively from experience, adequate protection was not put in place to prevent misuse."
108,0,Chatbot,Malicious use,"If a text-sending algorithm can pass itself off as a human instead of a chatbot, its message would be more credible."
109,0,Chatbot,Malicious use,"Therefore, human-seeming chatbots with well-crafted online identities could start scattering fake news that seem plausible, for instance making false claims during a presidential election."
110,0,Chatbot,Malicious use,"With enough chatbots, it might be even possible to achieve artificial social proof."
111,0,Chatbot,Limitations of Chatbots,"The creation and implementation of chatbots is still a developing area, heavily related to artificial intelligence and machine learning, so the provided solutions, while possessing obvious advantages, have some important limitations in terms of functionalities and use cases."
112,0,Chatbot,Limitations of Chatbots,"However this is changing over time.
"
113,0,Chatbot,Limitations of Chatbots,"The most common ones are listed below:
As the database, used for output generation, is fixed and limited, chatbots can fail while dealing with an unsaved query.
"
114,0,Chatbot,Limitations of Chatbots,"A chatbot's efficiency highly depends on language processing and is limited because of irregularities, such as accents and mistakes that can create an important barrier for international and multi-cultural organisations
Chatbots are unable to deal with multiple questions at the same time and so conversation opportunities are limited.
"
115,0,Chatbot,Limitations of Chatbots,"As it happens usually with technology-led changes in existing services, some consumers, more often than not from the old generation, are uncomfortable with chatbots due to their limited understanding, making it obvious that their requests are being dealt machines."
116,0,Chatbot,Chatbots and jobs,Chatbots are increasingly present in businesses and often are used to automate tasks that do not require skill-based talents.
117,0,Chatbot,Chatbots and jobs,"With customer service taking place via messaging apps as well as phone calls, there are growing numbers of use-cases where chatbot deployment gives organisations a clear return on investment."
118,0,Chatbot,Chatbots and jobs,Call centre workers may be particularly at risk from AI-driven chatbots.
119,0,Chatbot,Chatbots and jobs,A study by Forrester (June 2017) predicts that 25% of today's jobs will most likely be impacted by AI technologies by 2019.
120,0,Chatbot,Further reading,"Computer History Museum (2006), ""Internet History—1970's"", Exhibits, Computer History Museum, archived from the original on 2008-02-21, retrieved 2008-03-05
Güzeldere, Güven; Franchi, Stefano (1995-07-24), ""Constructions of the Mind"", Stanford Humanities Review, SEHR, Stanford University, 4 (2), retrieved 2008-03-05
Mauldin, Michael (1994), ""ChatterBots, TinyMuds, and the Turing Test: Entering the Loebner Prize Competition"", Proceedings of the Eleventh National Conference on Artificial Intelligence, AAAI Press, retrieved 2008-03-05 (abstract)
"
121,0,Chatbot,Further reading,"Network Working Group (1973), ""RFC 439, PARRY Encounters the DOCTOR"", Internet Engineering Task Force, Internet Society, retrieved 2008-03-05
Sondheim, Alan J (1997), <nettime> Important Documents from the Early Internet (1972), nettime.org, archived from the original on 2008-06-13, retrieved 2008-03-05
Searle, John (1980), ""Minds, Brains and Programs"", Behavioral and Brain Sciences, 3 (3): 417–457, doi:10.1017/S0140525X00005756
Shevat, Amir (2017)."
122,0,Chatbot,Further reading,Designing bots: Creating conversational experiences (First ed.).
123,0,Chatbot,Further reading,"Sebastopol, CA:"
124,0,Chatbot,Further reading,O'Reilly Media.
125,0,Chatbot,Further reading,ISBN 9781491974827.
126,0,Chatbot,Further reading,"OCLC 962125282.
"
127,0,Chatbot,Further reading,"Turing, Alan (1950), ""Computing Machinery and Intelligence"", Mind, 59 (236):"
128,0,Chatbot,Further reading,"433–60, doi:10.1093/mind/lix.236.433
Weizenbaum, Joseph (January 1966), ""ELIZA—A Computer Program For the Study of Natural Language Communication Between Man And Machine"", Communications of the ACM, 9 (1): 36–45, doi:10.1145/365153.365168"
129,1,List of chatterbots,Classic chatbots,"Dr. Sbaitso
ELIZA
PARRY
Racter (or Claude Chatterbot)
"
130,1,List of chatterbots,Classic chatbots,Mark V Shaney
131,1,List of chatterbots,General chatbots,"Albert One - 1998 and 1999 Loebner winner, by Robby Garner.
A.L.I.C.E. - 2001, 2002, and 2004 Loebner Prize winner developed by Richard Wallace.
"
132,1,List of chatterbots,General chatbots,"Charlix
Cleverbot (winner of the 2010 Mechanical Intelligence Competition)
Elbot - 2008 Loebner Prize winner, by Fred Roberts.
"
133,1,List of chatterbots,General chatbots,"Eugene Goostman - 2012 Turing 100 winner, by Vladimir Veselov.
"
134,1,List of chatterbots,General chatbots,"Fred - an early chatterbot by Robby Garner.
"
135,1,List of chatterbots,General chatbots,"Jabberwacky
Jeeney AI
MegaHAL
"
136,1,List of chatterbots,General chatbots,SimSimi
137,1,List of chatterbots,General chatbots,"- A popular artificial intelligence conversation program that was created in 2002 by ISMaker.
"
138,1,List of chatterbots,General chatbots,"Spookitalk - A chatterbot used for NPCs in Douglas Adams' Starship Titanic video game.
"
139,1,List of chatterbots,General chatbots,"Ultra Hal - 2007 Loebner Prize winner, by Robert Medeksza.
"
140,1,List of chatterbots,General chatbots,Verbot
141,1,List of chatterbots,IM chatbots,"GooglyMinotaur, specializing in Radiohead, the first bot released by ActiveBuddy (June 2001-March 2002)
SmarterChild, developed by ActiveBuddy and released in June 2001
Infobot, an assistant on IRC channels such as #perl, primarily to help out with answering Frequently Asked Questions (June 1995-today)
Lara.ng, is a personal directions assistant developed by Road Preppers Technologies, for navigating public transportation in Africa."
142,1,List of chatterbots,IM chatbots,(released in March 2017)
143,1,Twitterbot,Features,It is sometimes desirable to identify when a Twitter account is controlled by a bot.
144,1,Twitterbot,Features,"In a 2012 paper, Chu et al. propose the following criteria that indicate that an account may be a bot (they were designing an automated system):

""Periodic and regular timing"" of tweets;
Whether the tweet content contains known spam; and
The ratio of tweets from mobile versus desktop, as compared to an average human Twitter user."
145,1,Twitterbot,Features,Research shows that humans can view Twitter bots as a credible source of information.
146,1,Twitterbot,Examples,There are many different types of Twitter bots and their purposes vary from one to another.
147,1,Twitterbot,Examples,Some bots may tweet helpful material such as @EarthquakesSF (description below).
148,1,Twitterbot,Examples,"In 2009, Twitter bots were estimated to create approximately 24% of tweets that on Twitter."
149,1,Twitterbot,Examples,"Here are examples of some of the Twitter bots and how they interact with users on Twitter.

"
150,1,Twitterbot,Examples,"@Betelgeuse_3 sends at-replies in response to tweets that include the phrase, ""Beetlejuice, beetlejuice, beetlejuice""."
151,1,Twitterbot,Examples,"The tweets are sent in the voice of the lead character from the Beetlejuice film.
"
152,1,Twitterbot,Examples,"@CongressEdits and @parliamentedits posts whenever someone makes edits to Wikipedia from the US Congress and UK Parliament IP addresses, respectively.
"
153,1,Twitterbot,Examples,"@DBZNappa replied with ""WHAT!?"
154,1,Twitterbot,Examples,NINE THOUSAND?
155,1,Twitterbot,Examples,""" to anyone on Twitter that used the internet meme phrase ""over 9000""."
156,1,Twitterbot,Examples,"The account began in 2011, and was eventually suspended in 2015, most likely a victim of its own success.
"
157,1,Twitterbot,Examples,"@DearAssistant sends auto-reply tweets responding to complex queries in simple English by utilizing Wolfram Alpha.
"
158,1,Twitterbot,Examples,"@DeepDrumpf is a recurrent neural network, created at MIT, that releases tweets imitating Donald Trump's speech patterns."
159,1,Twitterbot,Examples,"It received its namesake from the term 'Donald Drumpf', popularized in the segment 'Donald Trump' from the show Last Week Tonight with John Oliver.
"
160,1,Twitterbot,Examples,"@DroptheIBot tweets the message, ""People aren't illegal."
161,1,Twitterbot,Examples,"Try saying 'undocumented immigrant' or 'unauthorized immigrant' instead"" to Twitter users who have sent a tweet containing the phrase ""illegal immigrant""."
162,1,Twitterbot,Examples,"It was created by American Fusion.net journalists Jorge Rivas and Patrick Hogan.
"
163,1,Twitterbot,Examples,@everyword has tweeted every word of the English language.
164,1,Twitterbot,Examples,"It started in 2007 and tweeted every thirty minutes until 2014.
"
165,1,Twitterbot,Examples,"@factbot1 was created by Eric Drass to illustrate what he believed to be a prevalent problem: that of people on the internet believing unsupported facts which accompany pictures.
"
166,1,Twitterbot,Examples,"@fuckeveryword
"
167,1,Twitterbot,Examples,@Horse_ebooks was a bot that gained a following among people who found its tweets poetic.
168,1,Twitterbot,Examples,It has inspired various _ebooks-suffixed Twitter bots which use Markov text generators (or similar techniques) to create new tweets by mashing up the tweets of their owner.
169,1,Twitterbot,Examples,"It went inactive following a brief promotion for Bear Stearns Bravo.
"
170,1,Twitterbot,Examples,@infinite_scream tweets and auto-replies a 2-39 character scream.
171,1,Twitterbot,Examples,"At least partially inspired by Edvard Munch's The Scream, it attracted attention from those distressed by the Presidency of Donald Trump and bad news.
"
172,1,Twitterbot,Examples,@MetaphorMagnet is an AI bot that generates metaphorical insights using its knowledge-base of stereotypical properties and norms.
173,1,Twitterbot,Examples,A companion bot @MetaphorMirror pairs these metaphors to news tweets.
174,1,Twitterbot,Examples,"Another companion bot @BestOfBotWorlds uses metaphor to generate faux-religious insights.
"
175,1,Twitterbot,Examples,"@Pentametron finds tweets incidentally written in iambic pentameter using the CMU Pronouncing Dictionary, pairs them into couplets using a rhyming dictionary, and retweets them as couplets into followers' feeds.
"
176,1,Twitterbot,Examples,"@RedScareBot tweets in the persona of Joseph McCarthy in response to Twitter posts mentioning ""socialist"", ""communist"", or ""communism"".
"
177,1,Twitterbot,Examples,"@tinycarebot promotes simple self care actions to its followers, such as remembering to look up from your screens, taking a break to go outside, and drink more water."
178,1,Twitterbot,Examples,It will also send a self care suggestion if you tweet directly at it.
179,1,Twitterbot,Examples,There are also families of related Twitter bots.
180,1,Twitterbot,Examples,"For example, @LessicoFeed, @SpracheFeed, @SwedishFeed, @TraductionFeed, @VocabularioFeed, @WelshFeed each tweet an English word along with a translation every hour into Italian, German, Swedish, French, Spanish, and Welsh, respectively.  "
181,1,Twitterbot,Examples,The translations are crowdsourced by volunteers and subscribers.
182,1,Twitterbot,Impact,Detecting non-human Twitter users has been of interest to academics.
183,1,Twitterbot,Impact,"Indiana University has developed a free service called Botometer (formerly BotOrNot), which scores Twitter handles based on their likelihood of being a Twitterbot."
184,1,Twitterbot,Impact,One significant academic study estimated that up to 15% of Twitter users were automated bot accounts.
185,1,Twitterbot,Impact,The prevalence of Twitter bots coupled with the ability of some bots to give seemingly human responses has enabled these non-human accounts to garner widespread influence.
186,1,Twitterbot,Political,A subset of Twitter bots programmed to complete social tasks played an important role in the United States 2016 Presidential Election.
187,1,Twitterbot,Political,Researchers estimated that pro-Trump bots generated four tweets for every pro-Clinton automated account and out-tweeted pro-Clinton bots 7:1 on relevant hashtags during the final debate.
188,1,Twitterbot,Political,Deceiving Twitter bots fooled candidates and campaign staffers into retweeting misappropriated quotes and accounts affiliated with incendiary ideals.
189,1,Twitterbot,Political,"Concerns about political Twitter bots include the promulgation of malicious content, increased polarization, and the spreading of fake news."
190,1,Twitterbot,Positive influence,Many non-malicious bots are popular for their entertainment value.
191,1,Twitterbot,Positive influence,"However, as technology and the creativity of bot-makers improves, so does the potential for Twitter bots that fill social needs."
192,1,Twitterbot,Positive influence,"@tinycarebot is a Twitterbot that encourages followers to practice self care, and brands are increasingly using automated Twitter bots to engage with customers in interactive ways."
193,1,Twitterbot,Positive influence,"One anti-bullying organization has created @TheNiceBot, which attempts to combat the prevalence of mean tweets by automatically tweeting kind messages."
194,1,Twitterbot,Public figures,"The majority of Twitter accounts following public figures and brands are often fake or inactive, making the number of Twitter followers a celebrity a difficult metric for gauging popularity."
195,1,Twitterbot,Public figures,"While this cannot always be helped, some public figures who have gained or lost huge quantities of followers in short periods of time have been accused of discreetly paying for Twitter followers."
196,1,Twitterbot,Public figures,"For example, the Twitter accounts of Sean Combs, Rep Jared Polis (D-Colo), PepsiCo, Mercedes-Benz, and 50 Cent have come under scrutiny for possibly engaging in the buying and selling of Twitter followers, which is estimated to be between a $40 million and $360 million business annually."
197,1,Twitterbot,Public figures,Account sellers may charge a premium for more realistic accounts that have Twitter profile pictures and bios and retweet the accounts they follow.
198,1,Twitterbot,Public figures,"In addition to an ego boost, public figures may gain  more lucrative endorsement contracts from inflated Twitter metrics.  "
199,1,Twitterbot,Public figures,"For brands, however, the translation of online buzz and social media followers into sales has recently come under question after The Coca-Cola Company disclosed that a corporate study revealed that social media buzz does not create a spike in short term sales."
200,1,Social bot,Uses,"Lutz Finger identifies 5 immediate uses for social bots:
foster fame: having an arbitrary number of (unrevealed) bots as (fake) followers can help simulate real success
spamming: having advertising bots in online chats is similar to email spam, but a lot more direct
mischief:"
201,1,Social bot,Uses,"e.g. signing up an opponent with a lot of fake identities and spam the account or help others discover it to discreditize the opponent
bias public opinion: influence trends by countless messages of similar content with different phrasings
limit free speech: important messages can be pushed out of sight by a deluge of automated bot messagesThe effects of all points can be likened to and support methods of traditional psychological warfare."
202,1,Social bot,Detection,The first generation of bots could sometimes be distinguished from real users by their often superhuman capacities to post messages around the clock (and at massive rates).
203,1,Social bot,Detection,"Later developments have succeeded in imprinting more ""human"" activity and behavioral patterns in the agent."
204,1,Social bot,Detection,"To unambiguously detect social bots as what they are, a variety of criteria must be applied together using pattern detection techniques, some of which are:
cartoon figures as user pictures
sometimes also random real user pictures are captured (identity fraud)
reposting rate
temporal patterns
sentiment expression
followers-to-friends ratio
length of user names
variability in (re)posted messagesBotometer (formerly BotOrNot) is a public Web service that checks the activity of a Twitter account and gives it a score based on how likely the account is to be a bot."
205,1,Social bot,Detection,"The system leverages over a thousand features.
"
206,1,Social bot,Detection,An active method that worked well in detecting early spam bots was to set up honeypot accounts where obvious nonsensical content was posted and then dumbly reposted (retweeted) by bots.
207,1,Social bot,Detection,"However, recent studies show that bots evolve quickly and detection methods have to be updated constantly, because otherwise they may get useless after few years."
208,1,Internet bot,IM and IRC,"Some bots communicate with other users of Internet-based services, via instant messaging (IM), Internet Relay Chat (IRC), or another web interface such as Facebook Bots and Twitterbots."
209,1,Internet bot,IM and IRC,These chatterbots may allow people to ask questions in plain English and then formulate a proper response.
210,1,Internet bot,IM and IRC,"These bots can often handle many tasks, including reporting weather, zip-code information, sports scores, converting currency or other units, etc."
211,1,Internet bot,IM and IRC,"Others are used for entertainment, such as SmarterChild on AOL Instant Messenger and MSN Messenger.
"
212,1,Internet bot,IM and IRC,"An additional role of IRC bots may be to lurk in the background of a conversation channel, commenting on certain phrases uttered by the participants (based on pattern matching)."
213,1,Internet bot,IM and IRC,"This is sometimes used as a help service for new users, or for censorship of profanity."
214,1,Internet bot,Social bots,Social networking bots are sets of algorithms that take on the duties of repetitive sets of instructions in order to establish a service or connection among social networking users.
215,1,Internet bot,Social bots,"Various designs of networking bots vary from chat bots, algorithms designed to converse with a human user, to social bots, algorithms designed to mimic human behaviors to converse with behavioral patterns similar to that of a human user."
216,1,Internet bot,Social bots,The history of social botting can be traced back to Alan Turing in the 1950s and his vision of designing sets of instructional code that passes the Turing test.
217,1,Internet bot,Social bots,"From 1964 to 1966, ELIZA, a natural language processing computer program created by Joseph Weizenbaum, is an early indicator of artificial intelligence algorithms that inspired computer programmers to design tasked programs that can match behavior patterns to their sets of instruction."
218,1,Internet bot,Social bots,"As a result, natural language processing has become an influencing factor to the development of artificial intelligence and social bots as innovative technological advancements are made alongside the progression of the mass spreading of information and thought on social media websites.
"
